"Flickr album title","Commons categories"
"Rosetta Wake-Up 20 Jan 2014","Rosetta (spacecraft)"
"Schlörwagen 1939","Schlörwagen"
"SHEFEX II","SHEFEX II"
"SocialSpace 2013",
"SOFIA in Neuseeland (Juli 2013) / SOFIA in New Zealand","Stratospheric Observatory for Infrared Astronomy"
"SOFIA Media Event, June 8, 2011","Stratospheric Observatory for Infrared Astronomy"
"SOFIA, March 2011","Stratospheric Observatory for Infrared Astronomy"
"SOUTHTRAC","SouthTRAC (Transport and Composition of the Southern Hemisphere UTLS)"
"SpaceBot Camp 2015",
"SpaceBot Cup",
"SpaceTweetup 2011",
"Startveranstaltung Alexander Gerst in Köln","Alexander Gerst"
"STS-133 @ L-2","STS-133"
"STS-134, L -1","STS-134"
"STS-134: Launch Day 29 April 2011","STS-134"
"STS-135 landing","STS-135"
"Studie zur Höhenkrankheit in 4554 Metern Höhe","Capanna Regina Margherita"
"Synlight","Synlight"
"Tag der Luft- und Raumfahrt 2011","Tag der Luft- und Raumfahrt"
"Tag der Luft- und Raumfahrt 2013","Tag der Luft- und Raumfahrt"
"Tag der Luft- und Raumfahrt 2015","Tag der Luft- und Raumfahrt"
"Tag der offenen Tür 2012 beim DLR in Oberpfaffenhofen",
"Tag der offenen Tür 2016 in Oberpfaffenhofen",
"TanDEM-X Satelliten-Swap","TanDEM-X"
"Winter im DLR-Standort Köln-Porz / Winter at DLR Cologne","DLR Köln;Winter in Cologne"
